永泰花苑,浦东,72,400多万
上海绿城,浦东,134,1200多万
金桥爱建园,浦东,134,1200多万
汇豪天下,浦东,129,1200多万
陆家嘴锦绣前城,浦东,122,1200多万
绿洲康城亲水湾(中央区),浦东,103,500多万
世茂滨江花园,浦东,126,1200多万
万科金色里程(公寓),浦东,89,800多万
世茂湖滨花园(公寓),浦东,195,1300万以上
仁恒滨江园,浦东,122,1300万以上
碧云东方公寓,浦东,145,1200多万
潍坊九村,浦东,37,400多万
江临天下,浦东,283,1300万以上
三林新村(永泰路468弄),浦东,83,400多万
菊园,浦东,126,1000多万
东方城市花园(二期),浦东,152,1000多万
荡湾新村,浦东,57,100多万
香梅花园,浦东,190,1200多万
牡丹小区(浦东),浦东,54,500多万
财富海景花园,浦东,355,1300万以上
锦绣满堂花园,浦东,123,1000多万
华阳苑,浦东,137,1000多万
民乐城惠益绿苑,浦东,80,200多万
金融家,浦东,92,400多万
盛世年华,浦东,124,1300万以上
仁恒河滨城,浦东,151,1300万以上
名都城(公寓),闵行,157,1000多万
好世凤凰城,闵行,89,500多万
万科城市花园,闵行,116,400多万
东方花园二期,闵行,101,800多万
上海康城,闵行,97,400多万
江南星城,闵行,66,400多万
虹浦新城北区,闵行,55,200多万
浦江世博家园二街坊,闵行,65,300多万
九歌上郡,闵行,65,400多万
聚缘中庭,闵行,73,200多万
罗阳七村,闵行,62,300多万
华梅花苑,闵行,83,400多万
丽都城假日景苑,闵行,121,500多万
浦江馨都,闵行,75,300多万
阳光美景城,闵行,102,600多万
蔷薇新村,闵行,79,200多万
新时代景庭,闵行,123,800多万
华宝花园,闵行,99,500多万
富力虹桥十号,闵行,96,800多万
东方花园三期,闵行,132,1000多万
静安新城五区,闵行,65,400多万
南洋博仕欣居,闵行,131,600多万
浦润苑,闵行,87,300多万
南方城,闵行,57,500多万
同济融创玫瑰公馆,闵行,66,400多万
锦秋花园(别墅),宝山,142,800多万
保利叶语(一期)(公寓),宝山,93,500多万
香逸湾,宝山,89,300多万
经纬观澜弘郡家园(三期),宝山,84,400多万
美兰湖中华园,宝山,87,300多万
同济城市阳光,宝山,84,400多万
保利叶上海(一期),宝山,88,400多万
经纬城市绿洲,宝山,84,400多万
锦秋花园(公寓),宝山,63,300多万
文宝苑,宝山,76,300多万
中环一号(一期),宝山,96,500多万
三花现代城,宝山,88,500多万
上大阳光乾泽园,宝山,95,400多万
馨佳园(菊盛路851弄),宝山,74,300多万
乾溪新村,宝山,56,200多万
馨佳园(韶山路245弄),宝山,75,300多万
采菊苑,宝山,78,300多万
中环一号(二期),宝山,86,400多万
葑润华庭,宝山,46,200多万
远洋香奈,宝山,108,400多万
丽景翠庭,宝山,87,300多万
尚汇豪庭,徐汇,156,1300万以上
永新城,徐汇,139,1300万以上
百汇园,徐汇,189,1300万以上
亚都国际名园,徐汇,113,1200多万
尚海湾豪庭,徐汇,166,1300万以上
锦汇苑,徐汇,94,1000多万
徐家汇花园,徐汇,127,1200多万
田林十二村,徐汇,50,400多万
怡桂苑,徐汇,84,600多万
兆丰帝景苑,徐汇,158,1300万以上
交大公寓,徐汇,77,600多万
丽锦小区,徐汇,85,500多万
中瑞公寓,徐汇,86,800多万
汇翠花园,徐汇,126,1000多万
云锦东方(公寓),徐汇,198,1300万以上
钦州花苑,徐汇,82,400多万
东方曼哈顿,徐汇,84,1200多万
瑞金南苑,徐汇,141,1200多万
田林新苑,徐汇,79,500多万
中海馨园,徐汇,145,1200多万
大木桥路450弄,徐汇,49,300多万
徐汇苑,徐汇,190,1300万以上
乐山大楼,徐汇,63,500多万
寿祥坊,徐汇,55,300多万
梓树园,徐汇,111,800多万
月季园(徐汇),徐汇,85,400多万
阳光威尼斯(四期)(公寓),普陀,82,400多万
万里欣苑,普陀,85,500多万
华侨城,普陀,86,1000多万
新湖明珠城,普陀,120,1000多万
上青佳园,普陀,144,1000多万
中鼎豪园,普陀,105,500多万
桃浦三村石榴苑,普陀,67,200多万
阳光威尼斯(一期),普陀,78,300多万
桃浦一村海棠苑,普陀,42,100多万
东沙小区,普陀,74,500多万
香溢花城(住宅),普陀,138,1000多万
愉景华庭,普陀,93,600多万
音乐广场,普陀,157,1300万以上
金沙雅苑(三期),普陀,103,800多万
安居锦竹苑,普陀,77,300多万
紫腾苑小区,普陀,54,200多万
荣和怡景园,普陀,65,300多万
武宁小城,普陀,66,400多万
上海知音苑,普陀,134,1200多万
车站新村(普陀),普陀,32,100多万
金沙雅苑(一期),普陀,92,500多万
和平花苑,杨浦,85,600多万
加州水郡,杨浦,165,1300万以上
九龙仓玺园,杨浦,145,1300万以上
长白三村,杨浦,33,100多万
恒阳花苑,杨浦,66,500多万
东岸新里,杨浦,76,500多万
新江湾佳苑,杨浦,86,800多万
鞍山一村,杨浦,61,300多万
韵都城,杨浦,98,800多万
银亿领墅,杨浦,490,1300万以上
控江五村,杨浦,33,100多万
大运盛城,杨浦,98,800多万
黄兴路619弄,杨浦,46,300多万
铁路新村(杨浦),杨浦,50,300多万
文化佳园,杨浦,128,1000多万
香阁丽苑,杨浦,142,1200多万
控江四村,杨浦,33,200多万
国定路600弄,杨浦,49,300多万
华升公寓,杨浦,230,1000多万
三门路358弄,杨浦,55,300多万
鞍山七村,杨浦,27,200多万
鞍山三村,杨浦,47,300多万
华润置地橡树湾,杨浦,83,800多万
辽阳大楼,杨浦,71,400多万
翠湖天地雅苑,黄埔,116,1300万以上
中福浦江汇,黄埔,62,600多万
中福花苑,黄埔,40,400多万
济南路8号,黄埔,147,1300万以上
黄浦新苑(公寓),黄埔,117,1000多万
绿城黄浦湾,黄埔,284,1300万以上
滨江名人苑,黄埔,147,1300万以上
翠湖天地御苑,黄埔,280,1300万以上
明珠家园(黄浦),黄埔,127,1200多万
耀江花园,黄埔,103,1200多万
翠湖天地嘉苑,黄埔,325,1300万以上
海华花园,黄埔,115,800多万
汇龙新城,黄埔,143,1300万以上
大同花园南区,黄埔,153,1300万以上
融创滨江壹号院,黄埔,172,1300万以上
弘辉名苑,黄埔,124,1200多万
华润外滩九里,黄埔,166,1300万以上
陆家浜大楼,黄埔,71,600多万
复地雅园,黄埔,102,1200多万
凯德茂名公馆,黄埔,351,1300万以上
开元坊,黄埔,173,1300万以上
