达城锦园 ,2室2厅,76.76平米,335万,107人关注,共247次带看,pudong
永泰花苑 ,2室1厅,72.28平米,420万,181人关注,共245次带看,pudong
上海绿城 ,3室2厅,134.55平米,1160万,248人关注,共232次带看,pudong
金桥爱建园 ,3室2厅,134.95平米,1150万,116人关注,共211次带看,pudong
汇豪天下 ,3室2厅,129.86平米,1150万,126人关注,共202次带看,pudong
陆家嘴锦绣前城 ,3室2厅,122.5平米,1180万,148人关注,共192次带看,pudong
绿洲康城亲水湾(中央区) ,2室2厅,103.3平米,530万,78人关注,共184次带看,pudong
世茂滨江花园 ,2室2厅,126.39平米,1218万,103人关注,共182次带看,pudong
万科金色里程(公寓) ,3室2厅,89.57平米,768万,217人关注,共180次带看,pudong
世茂湖滨花园(公寓) ,3室2厅,195.47平米,1630万,31人关注,共178次带看,pudong
仁恒滨江园 ,3室2厅,122.1平米,1550万,42人关注,共171次带看,pudong
碧云东方公寓 ,3室2厅,145.09平米,1230万,44人关注,共167次带看,pudong
世茂滨江花园 ,3室2厅,232.56平米,2300万,84人关注,共159次带看,pudong
潍坊九村 ,1室1厅,37.01平米,430万,33人关注,共159次带看,pudong
金桥爱建园 ,4室2厅,154.77平米,1350万,82人关注,共150次带看,pudong
江临天下 ,5室3厅,283.34平米,2000万,186人关注,共149次带看,pudong
三林新村(永泰路468弄) ,2室2厅,83.73平米,440万,328人关注,共147次带看,pudong
菊园 ,3室2厅,126.57平米,1050万,86人关注,共143次带看,pudong
东方城市花园(二期) ,3室2厅,152.74平米,1000万,310人关注,共142次带看,pudong
荡湾新村 ,2室1厅,57.1平米,170万,128人关注,共136次带看,pudong
香梅花园 ,3室2厅,190.43平米,1230万,157人关注,共136次带看,pudong
牡丹小区(浦东) ,2室1厅,54.82平米,500万,60人关注,共135次带看,pudong
财富海景花园 ,3室2厅,355平米,4600万,67人关注,共135次带看,pudong
锦绣满堂花园 ,3室2厅,123.23平米,1038万,105人关注,共135次带看,pudong
维诗凯亚  ,独栋别墅,3室2厅,4050万,42人关注,共134次带看,pudong
华阳苑 ,3室2厅,137.89平米,990万,145人关注,共134次带看,pudong
民乐城惠益绿苑 ,2室1厅,80平米,240万,124人关注,共134次带看,pudong
金融家 ,2室2厅,92平米,465万,39人关注,共133次带看,pudong
仁恒河滨城 ,3室2厅,151.16平米,1600万,32人关注,共131次带看,pudong
盛世年华 ,3室2厅,124.35平米,1400万,9人关注,共130次带看,pudong
名都城(公寓) ,3室2厅,157.28平米,1020万,12人关注,共162次带看,minhang
好世凤凰城 ,2室2厅,89.33平米,515万,84人关注,共142次带看,minhang
万科城市花园 ,3室2厅,116.33平米,490万,396人关注,共129次带看,minhang
东方花园二期 ,3室2厅,101.11平米,750万,90人关注,共118次带看,minhang
上海康城 ,2室2厅,97.73平米,415万,57人关注,共105次带看,minhang
